maven/mavencentral/ch.qos.logback/logback-classic/1.2.4, EPL-1.0, approved, CQ13636
maven/mavencentral/ch.qos.logback/logback-core/1.2.4, EPL-1.0, approved, CQ13635
maven/mavencentral/com.fasterxml.jackson.core/jackson-annotations/2.12.4, Apache-2.0, approved, CQ23207
maven/mavencentral/com.fasterxml.jackson.core/jackson-core/2.12.4, Apache-2.0, approved, CQ23202
maven/mavencentral/com.fasterxml.jackson.core/jackson-databind/2.12.4, Apache-2.0, approved, CQ23725
maven/mavencentral/com.fasterxml.jackson.datatype/jackson-datatype-jdk8/2.12.4, Apache-2.0, approved, CQ23208
maven/mavencentral/com.fasterxml.jackson.datatype/jackson-datatype-jsr310/2.12.4, Apache-2.0, approved, CQ23727
maven/mavencentral/com.fasterxml.jackson.module/jackson-module-parameter-names/2.12.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.fasterxml/classmate/1.5.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.jayway.jsonpath/json-path/2.5.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/jakarta.annotation/jakarta.annotation-api/1.3.5, EPL-2.0 OR GPL-2.0-with-classpath-exception, approved, ee4j.ca
maven/mavencentral/jakarta.validation/jakarta.validation-api/2.0.2, , approved, eclipse
maven/mavencentral/net.minidev/accessors-smart/2.4.7, Apache-2.0, approved, clearlydefined
maven/mavencentral/net.minidev/json-smart/2.4.7, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.logging.log4j/log4j-api/2.14.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.logging.log4j/log4j-to-slf4j/2.14.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.tomcat.embed/tomcat-embed-core/9.0.50, , approved, CQ20188
maven/mavencentral/org.apache.tomcat.embed/tomcat-embed-el/9.0.50, Apache-2.0, approved, CQ20193
maven/mavencentral/org.apache.tomcat.embed/tomcat-embed-websocket/9.0.50, Apache-2.0, approved, CQ20194
maven/mavencentral/org.atteo/evo-inflector/1.2.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.hibernate.validator/hibernate-validator/6.2.0.Final, Apache-2.0, approved, CQ23258
maven/mavencentral/org.jboss.logging/jboss-logging/3.4.2.Final, Apache-2.0, approved, CQ21255
maven/mavencentral/org.ow2.asm/asm/9.1, BSD-3-Clause, approved, CQ23029
maven/mavencentral/org.slf4j/jul-to-slf4j/1.7.32, MIT, approved, CQ12842
maven/mavencentral/org.slf4j/slf4j-api/1.7.32, MIT, approved, CQ13368
maven/mavencentral/org.springframework.boot/spring-boot-autoconfigure/2.5.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-data-rest/2.5.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-json/2.5.3, Apache-2.0, approved, #1544
maven/mavencentral/org.springframework.boot/spring-boot-starter-logging/2.5.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-tomcat/2.5.3, Apache-2.0, approved, #1542
maven/mavencentral/org.springframework.boot/spring-boot-starter-validation/2.5.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-web/2.5.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter/2.5.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot/2.5.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.data/spring-data-commons/2.5.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.data/spring-data-rest-core/3.5.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.data/spring-data-rest-webmvc/3.5.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.hateoas/spring-hateoas/1.3.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.plugin/spring-plugin-core/2.0.0.RELEASE, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework/spring-aop/5.3.9, Apache-2.0, approved, CQ23152
maven/mavencentral/org.springframework/spring-beans/5.3.9, Apache-2.0, approved, CQ23153
maven/mavencentral/org.springframework/spring-context/5.3.9, Apache-2.0, approved, CQ23051
maven/mavencentral/org.springframework/spring-core/5.3.9, Apache-2.0 AND BSD-3-Clause, approved, CQ23154
maven/mavencentral/org.springframework/spring-expression/5.3.9, Apache-2.0, approved, CQ23155
maven/mavencentral/org.springframework/spring-jcl/5.3.9, Apache-2.0, approved, CQ23156
maven/mavencentral/org.springframework/spring-tx/5.3.9, Apache-2.0, approved, CQ23055
maven/mavencentral/org.springframework/spring-web/5.3.9, Apache-2.0 AND LicenseRef-Public-Domain, approved, CQ23157
maven/mavencentral/org.springframework/spring-webmvc/5.3.9, Apache-2.0, approved, CQ23158
maven/mavencentral/org.yaml/snakeyaml/1.28, Apache-2.0 AND (EPL-1.0 OR LGPL-2.1-or-later OR GPL-2.0-or-later OR Apache-2.0 OR BSD-2-Clause), approved, CQ23168
