npm/npmjs/-/ansi-styles/4.3.0, MIT, approved, clearlydefined
npm/npmjs/-/asn1.js/5.4.1, MIT, approved, clearlydefined
npm/npmjs/-/assert/2.0.0, MIT, approved, clearlydefined
npm/npmjs/-/available-typed-arrays/1.0.4, MIT, approved, clearlydefined
npm/npmjs/-/axios/0.22.0, MIT, approved, clearlydefined
npm/npmjs/-/base64-js/1.3.1, MIT, approved, clearlydefined
npm/npmjs/-/base64-js/1.5.1, MIT, approved, clearlydefined
npm/npmjs/-/batch-processor/1.0.0, MIT, approved, clearlydefined
npm/npmjs/-/bn.js/4.12.0, MIT, approved, clearlydefined
npm/npmjs/-/bn.js/5.2.0, MIT, approved, clearlydefined
npm/npmjs/-/bootstrap-vue/2.21.2, MIT, approved, clearlydefined
npm/npmjs/-/bootstrap/4.6.0, MIT, approved, clearlydefined
npm/npmjs/-/brorand/1.1.0, MIT, approved, clearlydefined
npm/npmjs/-/browserify-aes/1.2.0, MIT, approved, clearlydefined
npm/npmjs/-/browserify-cipher/1.0.1, MIT, approved, clearlydefined
npm/npmjs/-/browserify-des/1.0.2, MIT, approved, clearlydefined
npm/npmjs/-/browserify-rsa/4.1.0, MIT, approved, clearlydefined
npm/npmjs/-/browserify-sign/4.2.1, ISC, approved, clearlydefined
npm/npmjs/-/browserify-zlib/0.2.0, MIT, approved, clearlydefined
npm/npmjs/-/buffer-xor/1.0.3, MIT, approved, clearlydefined
npm/npmjs/-/buffer/6.0.3, MIT, approved, clearlydefined
npm/npmjs/-/builtin-status-codes/3.0.0, MIT, approved, clearlydefined
npm/npmjs/-/call-bind/1.0.2, MIT, approved, clearlydefined
npm/npmjs/-/chalk/4.1.2, MIT, approved, clearlydefined
npm/npmjs/-/cipher-base/1.0.4, MIT, approved, clearlydefined
npm/npmjs/-/color-convert/2.0.1, MIT, approved, clearlydefined
npm/npmjs/-/color-name/1.1.4, MIT, approved, clearlydefined
npm/npmjs/-/connector-smartclide/1.0.26, ISC, approved, clearlydefined
npm/npmjs/-/consola/2.15.3, MIT, approved, clearlydefined
npm/npmjs/-/console-browserify/1.2.0, MIT, approved, clearlydefined
npm/npmjs/-/constants-browserify/1.0.0, MIT, approved, clearlydefined
npm/npmjs/-/create-ecdh/4.0.4, MIT, approved, clearlydefined
npm/npmjs/-/create-hash/1.2.0, MIT, approved, clearlydefined
npm/npmjs/-/create-hmac/1.1.7, MIT, approved, clearlydefined
npm/npmjs/-/crypto-browserify/3.12.0, MIT, approved, #1033
npm/npmjs/-/de-indent/1.0.2, MIT, approved, clearlydefined
npm/npmjs/-/define-properties/1.1.3, MIT, approved, clearlydefined
npm/npmjs/-/des.js/1.0.1, MIT, approved, #1128
npm/npmjs/-/diffie-hellman/5.0.3, MIT, approved, clearlydefined
npm/npmjs/-/domain-browser/4.19.0, MIT, restricted, clearlydefined
npm/npmjs/-/element-resize-detector/1.2.3, MIT, approved, clearlydefined
npm/npmjs/-/elliptic/6.5.4, MIT, approved, CQ23022
npm/npmjs/-/es-abstract/1.18.3, MIT, approved, clearlydefined
npm/npmjs/-/es-to-primitive/1.2.1, MIT, approved, clearlydefined
npm/npmjs/-/es6-object-assign/1.1.0, MIT, approved, clearlydefined
npm/npmjs/-/events/3.3.0, MIT, approved, clearlydefined
npm/npmjs/-/evp_bytestokey/1.0.3, MIT, approved, clearlydefined
npm/npmjs/-/follow-redirects/1.14.4, MIT, approved, clearlydefined
npm/npmjs/-/foreach/2.0.5, MIT, approved, clearlydefined
npm/npmjs/-/function-bind/1.1.1, MIT, approved, clearlydefined
npm/npmjs/-/get-intrinsic/1.1.1, MIT, approved, clearlydefined
npm/npmjs/-/has-bigints/1.0.1, MIT, approved, clearlydefined
npm/npmjs/-/has-flag/4.0.0, MIT, approved, clearlydefined
npm/npmjs/-/has-symbols/1.0.2, MIT, approved, clearlydefined
npm/npmjs/-/has/1.0.3, MIT, approved, clearlydefined
npm/npmjs/-/hash-base/3.1.0, MIT, approved, clearlydefined
npm/npmjs/-/hash.js/1.1.7, MIT, approved, #1044
npm/npmjs/-/he/1.2.0, MIT, approved, clearlydefined
npm/npmjs/-/hmac-drbg/1.0.1, MIT, approved, clearlydefined
npm/npmjs/-/https-browserify/1.0.0, MIT, approved, clearlydefined
npm/npmjs/-/ieee754/1.2.1, BSD-3-Clause, approved, clearlydefined
npm/npmjs/-/inherits/2.0.4, ISC, approved, clearlydefined
npm/npmjs/-/is-arguments/1.1.0, MIT, approved, clearlydefined
npm/npmjs/-/is-bigint/1.0.2, MIT, approved, clearlydefined
npm/npmjs/-/is-boolean-object/1.1.1, MIT, approved, clearlydefined
npm/npmjs/-/is-callable/1.2.3, MIT, approved, clearlydefined
npm/npmjs/-/is-date-object/1.0.4, MIT, approved, clearlydefined
npm/npmjs/-/is-generator-function/1.0.9, MIT, approved, clearlydefined
npm/npmjs/-/is-nan/1.3.2, MIT, approved, clearlydefined
npm/npmjs/-/is-negative-zero/2.0.1, MIT, approved, clearlydefined
npm/npmjs/-/is-number-object/1.0.5, MIT, approved, clearlydefined
npm/npmjs/-/is-regex/1.1.3, MIT, approved, clearlydefined
npm/npmjs/-/is-string/1.0.6, MIT, approved, clearlydefined
npm/npmjs/-/is-symbol/1.0.4, MIT, approved, clearlydefined
npm/npmjs/-/is-typed-array/1.1.5, MIT, approved, clearlydefined
npm/npmjs/-/js-sha256/0.9.0, MIT, approved, clearlydefined
npm/npmjs/-/keycloak-js/10.0.2, Apache-2.0, restricted, clearlydefined
npm/npmjs/-/lodash.omit/4.5.0, MIT, approved, clearlydefined
npm/npmjs/-/md5.js/1.3.5, MIT, approved, clearlydefined
npm/npmjs/-/meteor-node-stubs/1.1.0, MIT, approved, clearlydefined
npm/npmjs/-/miller-rabin/4.0.1, MIT, approved, clearlydefined
npm/npmjs/-/minimalistic-assert/1.0.1, ISC, approved, clearlydefined
npm/npmjs/-/minimalistic-crypto-utils/1.0.1, MIT, approved, clearlydefined
npm/npmjs/-/moment/2.29.1, MIT, approved, clearlydefined
npm/npmjs/-/node-fetch/2.6.5, MIT, approved, clearlydefined
npm/npmjs/-/object-inspect/1.10.3, MIT, approved, clearlydefined
npm/npmjs/-/object-is/1.1.5, MIT, approved, clearlydefined
npm/npmjs/-/object-keys/1.1.1, MIT, approved, clearlydefined
npm/npmjs/-/object.assign/4.1.2, MIT, approved, clearlydefined
npm/npmjs/-/os-browserify/0.3.0, MIT, approved, clearlydefined
npm/npmjs/-/pako/1.0.11, MIT AND Zlib, approved, clearlydefined
npm/npmjs/-/parse-asn1/5.1.6, ISC, approved, clearlydefined
npm/npmjs/-/path-browserify/1.0.1, MIT, approved, clearlydefined
npm/npmjs/-/pbkdf2/3.1.2, MIT, approved, clearlydefined
npm/npmjs/-/popper.js/1.16.1, MIT, approved, CQ22353
npm/npmjs/-/portal-vue/2.1.7, MIT, approved, clearlydefined
npm/npmjs/-/process/0.11.10, MIT, approved, CQ23452
npm/npmjs/-/public-encrypt/4.0.3, MIT, approved, clearlydefined
npm/npmjs/-/punycode/1.3.2, MIT, approved, clearlydefined
npm/npmjs/-/punycode/2.1.1, MIT, approved, clearlydefined
npm/npmjs/-/querystring-es3/0.2.1, MIT, approved, #1037
npm/npmjs/-/querystring/0.2.0, MIT, approved, #1054
npm/npmjs/-/randombytes/2.1.0, MIT, approved, clearlydefined
npm/npmjs/-/randomfill/1.0.4, MIT, approved, clearlydefined
npm/npmjs/-/readable-stream/3.6.0, MIT, approved, CQ22627
npm/npmjs/-/regenerator-runtime/0.13.9, MIT, approved, clearlydefined
npm/npmjs/-/ripemd160/2.0.2, MIT, approved, #1001
npm/npmjs/-/safe-buffer/5.2.1, MIT, approved, clearlydefined
npm/npmjs/-/safer-buffer/2.1.2, MIT, approved, clearlydefined
npm/npmjs/-/setimmediate/1.0.5, MIT, approved, clearlydefined
npm/npmjs/-/sha.js/2.4.11, BSD-3-Clause AND MIT, approved, #1031
npm/npmjs/-/stream-browserify/3.0.0, MIT, approved, clearlydefined
npm/npmjs/-/stream-http/3.2.0, MIT, approved, clearlydefined
npm/npmjs/-/string.prototype.trimend/1.0.4, MIT, approved, clearlydefined
npm/npmjs/-/string.prototype.trimstart/1.0.4, MIT, approved, clearlydefined
npm/npmjs/-/string_decoder/1.3.0, MIT, approved, clearlydefined
npm/npmjs/-/supports-color/7.2.0, MIT, approved, clearlydefined
npm/npmjs/-/timers-browserify/2.0.12, MIT, approved, clearlydefined
npm/npmjs/-/tr46/0.0.3, MIT, approved, clearlydefined
npm/npmjs/-/tty-browserify/0.0.1, MIT, approved, clearlydefined
npm/npmjs/-/unbox-primitive/1.0.1, MIT, approved, clearlydefined
npm/npmjs/-/underscore/1.13.1, MIT, approved, clearlydefined
npm/npmjs/-/url/0.11.0, MIT, approved, clearlydefined
npm/npmjs/-/util-deprecate/1.0.2, MIT, approved, clearlydefined
npm/npmjs/-/util/0.12.4, MIT, approved, clearlydefined
npm/npmjs/-/vm-browserify/1.1.2, MIT, approved, clearlydefined
npm/npmjs/-/vue-functional-data-merge/3.1.0, MIT, approved, clearlydefined
npm/npmjs/-/vue-grid-layout/2.3.12, MIT, approved, clearlydefined
npm/npmjs/-/vue-meteor-tracker/2.0.0-beta.5, ISC, approved, clearlydefined
npm/npmjs/-/vue-router/3.5.2, MIT, approved, clearlydefined
npm/npmjs/-/vue-smart-widget/0.6.1, MIT, approved, clearlydefined
npm/npmjs/-/vue-template-compiler/2.6.14, MIT, approved, clearlydefined
npm/npmjs/-/vue/2.6.14, (Apache-2.0 OR GPL-2.0-or-later OR MPL-1.0) and MIT, approved, #1249
npm/npmjs/-/vuex/3.6.2, MIT, approved, clearlydefined
npm/npmjs/-/webidl-conversions/3.0.1, BSD-2-Clause, approved, clearlydefined
npm/npmjs/-/whatwg-url/5.0.0, MIT, approved, clearlydefined
npm/npmjs/-/which-boxed-primitive/1.0.2, MIT, approved, clearlydefined
npm/npmjs/-/which-typed-array/1.1.4, MIT, approved, clearlydefined
npm/npmjs/-/xtend/4.0.2, MIT, approved, clearlydefined
npm/npmjs/@babel/runtime/7.15.4, MIT, approved, clearlydefined
npm/npmjs/@interactjs/actions/1.10.11, MIT, approved, clearlydefined
npm/npmjs/@interactjs/auto-scroll/1.10.11, MIT, approved, clearlydefined
npm/npmjs/@interactjs/auto-start/1.10.11, MIT, approved, clearlydefined
npm/npmjs/@interactjs/core/1.10.11, MIT, approved, clearlydefined
npm/npmjs/@interactjs/dev-tools/1.10.11, MIT, approved, clearlydefined
npm/npmjs/@interactjs/inertia/1.10.11, MIT, approved, clearlydefined
npm/npmjs/@interactjs/interact/1.10.11, MIT, approved, clearlydefined
npm/npmjs/@interactjs/interactjs/1.10.11, MIT, approved, clearlydefined
npm/npmjs/@interactjs/modifiers/1.10.11, MIT, approved, clearlydefined
npm/npmjs/@interactjs/offset/1.10.11, MIT, approved, clearlydefined
npm/npmjs/@interactjs/pointer-events/1.10.11, MIT, approved, clearlydefined
npm/npmjs/@interactjs/reflow/1.10.11, MIT, approved, clearlydefined
npm/npmjs/@interactjs/snappers/1.10.11, MIT, approved, clearlydefined
npm/npmjs/@interactjs/types/1.10.11, MIT, approved, clearlydefined
npm/npmjs/@interactjs/utils/1.10.11, MIT, approved, clearlydefined
npm/npmjs/@nuxt/opencollective/0.3.2, MIT, approved, clearlydefined
